;Date,Open,High,Low,Close,Adj Close,Volume
85;2020-05-06,17.870001,18.059999,17.280001,17.280001,16.717030,67937500
86;2020-05-07,17.750000,17.870001,17.350000,17.440001,16.871819,81265100
87;2020-05-08,17.740000,18.580000,17.709999,18.480000,17.877934,83232700
88;2020-05-11,18.299999,18.930000,18.110001,18.150000,17.558685,65061500
89;2020-05-12,18.530001,18.830000,18.129999,18.139999,17.549011,71837200
90;2020-05-13,18.260000,18.350000,17.520000,17.590000,17.016930,87222300
91;2020-05-14,17.400000,17.469999,16.719999,17.400000,16.833118,119653200
92;2020-05-15,17.990000,18.190001,17.150000,17.150000,16.591265,133733100
93;2020-05-18,18.100000,18.540001,17.920000,18.540001,17.935982,116999500
94;2020-05-19,18.510000,18.930000,18.410000,18.680000,18.071419,80131600
95;2020-05-20,19.090000,19.440001,19.059999,19.299999,18.671219,74595100
96;2020-05-21,19.500000,19.770000,19.070000,19.190001,18.564804,81327000
97;2020-05-22,18.799999,18.900000,18.350000,18.670000,18.061745,71259400
98;2020-05-25,19.480000,19.559999,19.260000,19.480000,18.845354,38033000
99;2020-05-26,19.980000,20.090000,19.330000,19.670000,19.029165,68716900
100;2020-05-27,19.799999,19.930000,19.150000,19.930000,19.280695,74790800
101;2020-05-28,19.690001,20.080000,19.450001,19.770000,19.125908,65023000
102;2020-05-29,19.549999,20.340000,19.299999,20.340000,19.677336,128832600
103;2020-06-01,20.150000,20.559999,20.000000,20.330000,19.667662,86579500
104;2020-06-02,20.750000,21.400000,20.600000,21.400000,20.702803,77235100
105;2020-06-03,21.860001,21.910000,21.410000,21.469999,20.770521,86219700
106;2020-06-04,21.389999,21.780001,21.040001,21.430000,20.731825,107401400
107;2020-06-05,22.290001,23.030001,22.059999,22.100000,21.379999,114137700
108;2020-06-08,22.549999,22.590000,22.010000,22.530001,21.795988,82444400
109;2020-06-09,22.030001,22.040001,21.639999,21.719999,21.012377,96488300
110;2020-06-10,21.889999,21.900000,21.000000,21.400000,20.702803,102551100
111;2020-06-12,20.620001,21.170000,20.100000,20.600000,19.928867,116746700
112;2020-06-15,19.809999,21.090000,19.540001,20.700001,20.025610,99931000
113;2020-06-16,21.559999,21.910000,21.170000,21.370001,20.673780,94510600
114;2020-06-17,21.480000,21.850000,21.150000,21.440001,20.741499,63268700
115;2020-06-18,21.180000,21.770000,21.080000,21.600000,20.896288,56893300
116;2020-06-19,22.000000,22.219999,21.219999,21.469999,20.770521,91139800
117;2020-06-22,21.600000,21.600000,20.900000,20.950001,20.267464,45419000
118;2020-06-23,21.219999,22.070000,21.139999,21.650000,20.944658,78950900
119;2020-06-24,21.490000,21.559999,20.709999,21.000000,20.315836,65162400
120;2020-06-25,20.910000,21.469999,20.730000,21.469999,20.770521,47263500
121;2020-06-26,21.209999,21.469999,20.780001,20.840000,20.161047,55499300
122;2020-06-29,21.100000,21.660000,20.930000,21.660000,20.954332,59809600
123;2020-06-30,21.340000,21.799999,21.090000,21.549999,20.847916,65010600
124;2020-07-01,21.750000,22.250000,21.520000,21.709999,21.002701,78983900
125;2020-07-02,22.100000,22.209999,21.860001,22.059999,21.341301,56345900
126;2020-07-03,21.950001,22.180000,21.799999,21.980000,21.263906,24060000
127;2020-07-06,22.389999,22.860001,22.309999,22.510000,21.776640,58070900
128;2020-07-07,22.340000,22.469999,22.139999,22.230000,21.505762,46591300
129;2020-07-08,22.450001,22.760000,22.400000,22.650000,21.912079,49136300
130;2020-07-09,22.780001,22.809999,22.059999,22.139999,21.418694,57151500
131;2020-07-10,22.190001,22.650000,22.059999,22.510000,21.776640,57428300
132;2020-07-13,22.610001,22.650000,22.160000,22.160000,21.438042,55425500
133;2020-07-14,22.129999,22.959999,21.860001,22.900000,22.153933,89380500
134;2020-07-15,23.200001,23.430000,22.850000,23.340000,22.579599,58390600
135;2020-07-16,23.160000,23.280001,22.520000,22.719999,21.979797,69698700
136;2020-07-17,22.830000,23.030001,22.580000,22.740000,21.999146,49927600
137;2020-07-20,22.700001,22.910000,22.520000,22.740000,21.999146,48679800
138;2020-07-21,23.150000,23.600000,23.139999,23.370001,22.608624,101769600
139;2020-07-22,23.299999,23.410000,23.010000,23.049999,22.299047,43085500
140;2020-07-23,23.160000,23.230000,22.540001,22.570000,21.835121,64072100
141;2020-07-24,22.540001,23.059999,22.420000,22.730000,21.989912,43380300
142;2020-07-27,22.870001,23.250000,22.450001,23.200001,22.444611,56539600
143;2020-07-28,23.040001,23.320000,22.799999,22.799999,22.057632,48353000
144;2020-07-29,23.030001,23.250000,22.920000,23.170000,22.415586,44011500
145;2020-07-30,22.920000,22.920000,22.500000,22.820000,22.076982,57859000
146;2020-07-31,22.920000,23.139999,22.160000,22.200001,21.477171,75397300
147;2020-08-03,22.540001,22.549999,21.719999,21.799999,21.090193,63598500
148;2020-08-04,21.459999,22.049999,21.250000,21.780001,21.070845,63011900
149;2020-08-05,22.230000,23.280001,22.230000,23.180000,22.425261,137214700
150;2020-08-06,23.280001,23.530001,23.010000,23.219999,22.463957,56375100
151;2020-08-07,22.860001,22.910000,22.549999,22.790001,22.047960,56040200
152;2020-08-10,22.900000,23.450001,22.639999,23.450001,22.686470,52390100
153;2020-08-11,23.709999,23.879999,23.059999,23.080000,22.328516,66342300
154;2020-08-12,23.360001,23.680000,23.080000,23.480000,22.715492,67008500
155;2020-08-13,23.450001,23.580000,22.709999,22.840000,22.096331,44588200
156;2020-08-14,22.770000,22.980000,22.530001,22.670000,21.931866,38422000
157;2020-08-17,22.680000,22.840000,22.150000,22.600000,21.864145,52064300
158;2020-08-18,22.930000,23.240000,22.770000,23.020000,22.270472,49361300
159;2020-08-19,22.950001,23.320000,22.750000,22.889999,22.144703,51982100
160;2020-08-20,22.520000,22.870001,22.350000,22.730000,21.989912,55251700
161;2020-08-21,22.540001,22.629999,22.350000,22.559999,21.825447,38668300
162;2020-08-24,22.860001,23.129999,22.799999,22.969999,22.222097,51841900
163;2020-08-25,23.090000,23.150000,22.690001,22.870001,22.125355,37981400
164;2020-08-26,22.780001,22.900000,22.040001,22.219999,21.496517,69925300
165;2020-08-27,22.320000,22.469999,22.040001,22.150000,21.428797,35489800
166;2020-08-28,22.250000,22.540001,22.059999,22.540001,21.806101,31071000
167;2020-08-31,22.320000,22.430000,21.889999,21.889999,21.177263,48539700
168;2020-09-01,22.200001,22.889999,22.120001,22.870001,22.125355,66299700
169;2020-09-02,22.930000,23.100000,22.520000,22.799999,22.057632,53618000
170;2020-09-03,22.610001,23.120001,22.570000,22.879999,22.135029,87642400
171;2020-09-04,23.000000,23.030001,22.580000,22.920000,22.173727,52351100
172;2020-09-08,22.500000,22.500000,21.910000,22.260000,21.535215,74490200
173;2020-09-09,22.490000,22.770000,22.490000,22.730000,21.989912,42143500
174;2020-09-10,22.580000,22.580000,22.110001,22.120001,21.399775,58350000
175;2020-09-11,22.120001,22.260000,21.750000,21.879999,21.167587,71013700
176;2020-09-14,21.940001,21.980000,21.430000,21.680000,20.974100,46453300
177;2020-09-15,21.980000,22.080000,21.549999,21.670000,20.964426,58546700
178;2020-09-16,21.850000,21.990000,21.600000,21.730000,21.022472,50379500
179;2020-09-17,21.510000,22.170000,21.459999,22.150000,21.428797,60432200
180;2020-09-18,21.990000,22.150000,21.549999,21.650000,20.945078,64243500
181;2020-09-21,21.290001,21.459999,20.809999,20.900000,20.219498,73300000
182;2020-09-22,20.959999,21.350000,20.750000,20.799999,20.122753,47207700
183;2020-09-23,20.799999,20.959999,20.200001,20.230000,19.571312,57106300
184;2020-09-24,20.240000,20.709999,20.059999,20.400000,19.735777,76310000
185;2020-09-25,20.150000,20.260000,19.870001,20.129999,19.474567,40150400
186;2020-09-28,20.330000,20.559999,19.629999,19.629999,18.990849,48797400
187;2020-09-29,19.629999,19.860001,19.250000,19.309999,18.681267,52878100
188;2020-09-30,19.500000,20.040001,19.430000,19.610001,18.971500,69505000
189;2020-10-01,19.639999,20.059999,19.129999,19.850000,19.203686,77537300
190;2020-10-02,19.730000,19.740000,19.020000,19.020000,18.400711,85306000
191;2020-10-05,19.360001,20.160000,19.240000,20.030001,19.377825,73288500
192;2020-10-06,20.469999,20.700001,19.930000,19.930000,19.281080,77064600
193;2020-10-07,20.000000,20.049999,19.559999,19.790001,19.145639,53521000
194;2020-10-08,20.040001,20.590000,19.860001,20.440001,19.774475,78070400
195;2020-10-09,20.340000,20.389999,19.799999,19.799999,19.155313,67962300
196;2020-10-13,19.910000,20.129999,19.730000,20.129999,19.474567,55330600
197;2020-10-14,20.090000,20.370001,19.969999,19.969999,19.319778,44584300
198;2020-10-15,19.620001,19.770000,19.440001,19.750000,19.106941,56952100
199;2020-10-16,19.670000,19.709999,19.320000,19.330000,18.700617,49929000
200;2020-10-19,19.410000,19.940001,19.250000,19.520000,18.884430,107419300
201;2020-10-20,19.670000,20.270000,19.590000,20.180000,19.522942,68407700
202;2020-10-21,20.160000,20.330000,19.830000,20.160000,19.503592,60594900
203;2020-10-22,20.100000,20.840000,20.049999,20.840000,20.161451,98926900
204;2020-10-23,20.940001,21.139999,20.540001,20.570000,19.900242,61711200
205;2020-10-26,20.330000,20.530001,20.030001,20.250000,19.590662,58229100
206;2020-10-27,20.260000,20.370001,19.809999,19.879999,19.232708,48978400
207;2020-10-28,19.350000,19.440001,18.670000,18.670000,18.062107,79247400
208;2020-10-29,18.430000,19.370001,17.740000,19.290001,18.661921,86794800
209;2020-10-30,19.139999,19.540001,18.870001,18.940001,18.323315,64185100
210;2020-11-03,19.510000,19.900000,19.330000,19.650000,19.010197,66292400
211;2020-11-04,20.010000,20.070000,19.270000,19.719999,19.077917,65777600
212;2020-11-05,19.950001,19.990000,19.719999,19.889999,19.242382,40874800
213;2020-11-06,19.549999,19.950001,19.540001,19.750000,19.106941,37273300
214;2020-11-09,21.110001,22.690001,21.040001,21.610001,20.906380,164904100
215;2020-11-10,21.889999,23.150000,21.809999,23.080000,22.328516,163732600
216;2020-11-11,23.350000,23.360001,22.400000,22.879999,22.135029,93072900
217;2020-11-12,22.740000,22.820000,21.770000,21.910000,21.196611,77275000
218;2020-11-13,22.020000,22.799999,21.889999,22.629999,21.893167,66065200
219;2020-11-16,23.200001,23.629999,23.129999,23.290001,22.531679,101583300
220;2020-11-17,23.049999,24.139999,22.980000,23.690001,22.918655,94082100
221;2020-11-18,23.990000,24.129999,23.549999,23.549999,22.783213,68540400
222;2020-11-19,23.549999,23.940001,23.370001,23.820000,23.044422,65382100
223;2020-11-23,24.049999,25.100000,24.040001,25.100000,24.282745,125649000
